date,total_cases,new_cases,total_cases_per_million,new_cases_per_million
2019-12-31,0,0,0.0,0.0
2020-01-01,0,0,0.0,0.0
2020-01-02,0,0,0.0,0.0
2020-01-03,0,0,0.0,0.0
2020-01-04,0,0,0.0,0.0
2020-01-05,0,0,0.0,0.0
2020-01-06,0,0,0.0,0.0
2020-01-07,0,0,0.0,0.0
2020-01-08,0,0,0.0,0.0
2020-01-09,0,0,0.0,0.0
2020-01-10,0,0,0.0,0.0
2020-01-11,0,0,0.0,0.0
2020-01-12,0,0,0.0,0.0
2020-01-13,0,0,0.0,0.0
2020-01-14,0,0,0.0,0.0
2020-01-15,0,0,0.0,0.0
2020-01-16,0,0,0.0,0.0
2020-01-17,0,0,0.0,0.0
2020-01-18,0,0,0.0,0.0
2020-01-19,0,0,0.0,0.0
2020-01-20,0,0,0.0,0.0
2020-01-21,1,1,0.003,0.003
2020-01-22,1,0,0.003,0.0
2020-01-23,1,0,0.003,0.0
2020-01-24,1,0,0.003,0.0
2020-01-25,2,1,0.006,0.003
2020-01-26,2,0,0.006,0.0
2020-01-27,5,3,0.015,0.009000000000000001
2020-01-28,5,0,0.015,0.0
2020-01-29,5,0,0.015,0.0
2020-01-30,5,0,0.015,0.0
2020-01-31,6,1,0.018000000000000002,0.003
2020-02-01,7,1,0.021,0.003
2020-02-02,8,1,0.024,0.003
2020-02-03,11,3,0.033,0.009000000000000001
2020-02-04,11,0,0.033,0.0
2020-02-05,11,0,0.033,0.0
2020-02-06,12,1,0.036000000000000004,0.003
2020-02-07,12,0,0.036000000000000004,0.0
2020-02-08,12,0,0.036000000000000004,0.0
2020-02-09,12,0,0.036000000000000004,0.0
2020-02-10,12,0,0.036000000000000004,0.0
2020-02-11,13,1,0.039,0.003
2020-02-12,13,0,0.039,0.0
2020-02-13,14,1,0.042,0.003
2020-02-14,15,1,0.045,0.003
2020-02-15,15,0,0.045,0.0
2020-02-16,15,0,0.045,0.0
2020-02-17,15,0,0.045,0.0
2020-02-18,15,0,0.045,0.0
2020-02-19,15,0,0.045,0.0
2020-02-20,15,0,0.045,0.0
2020-02-21,16,1,0.048,0.003
2020-02-22,35,19,0.106,0.057
2020-02-23,35,0,0.106,0.0
2020-02-24,35,0,0.106,0.0
2020-02-25,53,18,0.16,0.054000000000000006
2020-02-26,53,0,0.16,0.0
2020-02-27,59,6,0.17800000000000002,0.018000000000000002
2020-02-28,60,1,0.18100000000000002,0.003
2020-02-29,66,6,0.19899999999999998,0.018000000000000002
2020-03-01,69,3,0.20800000000000002,0.009000000000000001
2020-03-02,89,20,0.26899999999999996,0.06
2020-03-03,103,14,0.311,0.042
2020-03-04,125,22,0.37799999999999995,0.066
2020-03-05,159,34,0.48,0.10300000000000001
2020-03-06,233,74,0.7040000000000001,0.22399999999999998
2020-03-07,338,105,1.021,0.317
2020-03-08,433,95,1.308,0.287
2020-03-09,554,121,1.6740000000000002,0.366
2020-03-10,754,200,2.278,0.604
2020-03-11,1025,271,3.097,0.8190000000000001
2020-03-12,1312,287,3.964,0.867
2020-03-13,1663,351,5.024,1.06
2020-03-14,2174,511,6.568,1.544
2020-03-15,2951,777,8.915,2.347
2020-03-16,3774,823,11.402000000000001,2.4859999999999998
2020-03-17,4661,887,14.081,2.68
