Date,un_claims
2018-01-06,403930
2018-01-13,354708
2018-01-20,260432
2018-01-27,268197
2018-02-03,243422
2018-02-10,233252
2018-02-17,212609
2018-02-24,196294
2018-03-03,225893
2018-03-10,205185
2018-03-17,198649
2018-03-24,195433
2018-03-31,201057
2018-04-07,231759
2018-04-14,226090
2018-04-21,200139
2018-04-28,186451
2018-05-05,190262
2018-05-12,195214
2018-05-19,207043
2018-05-26,202846
2018-06-02,191523
2018-06-09,217289
2018-06-16,206023
2018-06-23,222766
2018-06-30,231539
2018-07-07,264869
2018-07-14,232238
2018-07-21,201288
2018-07-28,179880
2018-08-04,185174
2018-08-11,180038
2018-08-18,173331
2018-08-25,175745
2018-09-01,173607
2018-09-08,162640
2018-09-15,173624
2018-09-22,172930
2018-09-29,171816
2018-10-06,193936
2018-10-13,190501
2018-10-20,198733
2018-10-27,198530
2018-11-03,214814
2018-11-10,235981
2018-11-17,226576
2018-11-24,218658
2018-12-01,317936
2018-12-08,261525
2018-12-15,255195
2018-12-22,291581
2018-12-29,327388
2019-01-05,350681
2019-01-12,343678
2019-01-19,269369
2019-01-26,250580
2019-02-02,254263
2019-02-09,242762
2019-02-16,210679
2019-02-23,203049
2019-03-02,220540
2019-03-09,209302
2019-03-16,194335
2019-03-23,190023
2019-03-30,183775
2019-04-06,196071
2019-04-13,196364
2019-04-20,211762
2019-04-27,204755
2019-05-04,204033
2019-05-11,188264
2019-05-18,191931
2019-05-25,198194
2019-06-01,189577
2019-06-08,220186
2019-06-15,205921
2019-06-22,225819
2019-06-29,224565
2019-07-06,231995
2019-07-13,243621
2019-07-20,196382
2019-07-27,178897
2019-08-03,179879
2019-08-10,186914
2019-08-17,171386
2019-08-24,176867
2019-08-31,179516
2019-09-07,160342
2019-09-14,173134
2019-09-21,175394
2019-09-28,172968
2019-10-05,188106
2019-10-12,201677
2019-10-19,186748
2019-10-26,198733
2019-11-02,205625
2019-11-09,238996
2019-11-16,227892
2019-11-23,252428
2019-11-30,216827
2019-12-07,317866
2019-12-14,270547
2019-12-21,287243
2019-12-28,312524
2020-01-04,335480
2020-01-11,338550
2020-01-18,282088
2020-01-25,229002
2020-02-01,224664
2020-02-08,219601
2020-02-15,209336
2020-02-22,199278
2020-02-29,216982
2020-03-07,200382
2020-03-14,251416
2020-03-21,2920162
2020-03-28,6015821
